years,RouteCount,RedtailedHawk,rate
1968,26,73,0.356164383561644
1969,31,81,0.382716049382716
1970,59,157,0.375796178343949
1971,59,131,0.450381679389313
1972,128,307,0.416938110749186
1973,151,284,0.53169014084507
1974,145,364,0.398351648351648
1975,150,381,0.393700787401575
1976,144,405,0.355555555555556
1977,144,367,0.392370572207084
1978,139,315,0.441269841269841
1979,126,348,0.362068965517241
1980,137,406,0.33743842364532
1981,139,375,0.370666666666667
1982,118,318,0.371069182389937
1983,108,329,0.328267477203647
1984,113,368,0.307065217391304
1985,101,254,0.397637795275591
1986,116,360,0.322222222222222
1987,116,357,0.324929971988796
1988,120,347,0.345821325648415
1989,116,398,0.291457286432161
1990,105,311,0.337620578778135
1991,121,360,0.336111111111111
1992,113,351,0.321937321937322
1993,121,460,0.26304347826087
1994,137,573,0.239092495636998
1995,149,485,0.307216494845361
1996,142,548,0.259124087591241
1997,145,492,0.294715447154472
1998,128,419,0.305489260143198
1999,130,430,0.302325581395349
2000,126,402,0.313432835820896
2001,124,346,0.358381502890173
2002,129,337,0.382789317507418
2003,150,490,0.306122448979592
2004,137,460,0.297826086956522
2005,134,416,0.322115384615385
2006,132,452,0.292035398230089
2007,126,424,0.297169811320755
2008,116,344,0.337209302325581
2009,125,373,0.335120643431635
2010,111,338,0.328402366863905
2011,114,433,0.263279445727483
2012,146,554,0.263537906137184
2013,139,462,0.300865800865801
2014,136,398,0.341708542713568
2015,127,463,0.274298056155508
2016,120,449,0.267260579064588
2017,127,510,0.249019607843137
