"Year","RouteCount","RedShouldered"
1966,0,NA
1967,0,NA
1968,26,3
1969,31,3
1970,59,7
1971,59,11
1972,128,15
1973,151,14
1974,145,35
1975,150,17
1976,144,25
1977,144,35
1978,139,25
1979,126,15
1980,137,57
1981,139,48
1982,118,19
1983,108,19
1984,113,45
1985,101,28
1986,116,40
1987,116,57
1988,120,39
1989,116,36
1990,105,39
1991,121,32
1992,113,40
1993,121,47
1994,137,37
1995,149,75
1996,142,53
1997,145,47
1998,128,48
1999,130,54
2000,126,50
2001,124,53
2002,129,78
2003,150,84
2004,137,97
2005,134,71
2006,132,98
2007,126,106
2008,116,86
2009,125,91
2010,111,79
2011,114,103
2012,146,143
2013,139,112
2014,136,100
2015,127,72
2016,120,59
2017,127,66
